distance_m,altitude_m
0.0,5.0
30.5,5.2
61.80000000000001,5.2
94.30000000000001,4.8
117.10000000000002,4.2
153.39999999999998,3.0
178.60000000000002,2.4
204.0,2.0
242.29999999999995,1.8
267.29999999999995,1.8
291.6,2.0
327.0,2.4
360.9,2.8
383.1,3.0
415.29999999999995,3.8
446.0,4.4
477.1,4.6
508.70000000000005,4.8
539.6,4.6
560.0,4.6
591.0,4.4
622.6,4.2
655.2,3.8
677.9,3.2
713.4,2.2
737.8,1.6
774.9000000000001,0.8
799.8,0.6
837.0999999999999,0.4
861.8,0.4
886.0,0.6
921.5,0.6
956.5999999999999,0.6
979.8,0.6
1014.5,0.6
1037.5,0.6
1072.2,0.6
1095.2,0.6
1129.5,0.6
1163.5,0.6
1185.7,0.8
1219.0,0.8
1253.7,0.0
1278.3,-0.8
1304.0,-1.6
1344.3,-3.0
1372.1,-3.8
1400.2,-4.8
1428.5,-5.6
1457.1,-5.8
1483.8,-6.0
1510.4,-5.8
1548.7,-5.6
1573.9,-5.6
1599.1,-5.4
1636.7,-5.4
1661.4,-5.4
1696.8,-5.4
1720.1,-5.4
1754.4,-5.4
1788.5,-5.4
1811.4,-5.4
1846.1,-5.4
1869.5,-5.4
1904.9,-5.4
1928.5,-5.4
1963.9,-5.4
1987.5,-5.4
2022.6999999999998,-5.4
2046.0,-5.4
2080.6,-5.4
2114.6,-5.4
2137.3,-5.4
2171.1,-5.4
2204.9,-5.4
2227.4,-5.4
2261.2,-5.4
2283.5,-5.4
2316.4,-5.4
2348.7,-5.4
2380.7,-5.4
2412.5,-5.4
2433.8,-5.4
2465.9,-5.4
2498.4,-5.4
2531.7,-5.4
2554.3,-5.4
2588.5,-5.4
2611.4,-5.4
2645.8,-5.4
2678.1,-5.4
2700.0,-5.4
2733.4,-5.4
2767.3,-5.4
2790.1,-5.4
2824.7,-5.4
2859.5,-5.4
2882.9,-5.4
2918.1,-5.4
2941.5,-5.4
2976.8,-5.4
3000.3,-5.4
3035.7,-5.4
3059.3,-5.4
3094.4,-5.4
3117.8,-5.4
3152.9,-5.6
3176.2,-6.0
3210.8,-6.2
3244.7,-6.0
3266.4,-5.4
3298.1,-4.4
3328.9,-3.4
3358.4,-2.4
3386.8,-1.6
3414.3,-0.6
3450.1,0.6
3477.1,1.0
3505.8,0.6
3536.7,0.6
3567.3,0.6
3597.7,0.6
3628.6,0.6
3659.9,0.6
3691.2,0.8
3712.1,0.8
3743.4,0.8
3775.1,0.8
3807.1000000000004,0.8
3839.5,0.8
3861.2,0.8
3894.0,0.8
3927.3999999999996,0.8
3949.8999999999996,0.8
3983.8,0.8
4017.8999999999996,0.8
4040.8999999999996,1.0
4075.3,1.0
4098.3,1.0
4132.8,1.0
4167.1,1.0
4189.7,1.2
4222.6,1.4
4254.2,2.0
4284.8,2.6
4314.6,3.2
4344.1,3.8
4373.1,4.4
4401.4,5.0
4427.8,5.4
4463.0,6.2
4489.7,6.8
4516.3,7.4
4552.6,7.4
4581.3,7.4
4611.0,7.4
4641.3,7.6
4671.6,8.2
4698.0,10.0
4725.7,12.6
4754.8,15.0
4784.7,17.6
4814.7,20.6
4847.2,23.8
4876.7,26.4
4905.3,28.6
4935.3,30.8
4966.0,33.0
4992.8,35.0
5021.9,36.6
5053.0,37.8
5082.1,39.0
