distance_m,altitude_m
0.0,167.8
25.5,167.8
49.400000000000006,168.0
77.5,168.0
98.60000000000001,167.6
123.10000000000001,167.0
151.0,166.2
174.60000000000002,165.4
199.7,164.8
226.09999999999997,164.0
253.59999999999997,163.4
272.3,163.0
300.2,162.4
328.3,162.0
356.2,161.6
374.7,161.4
402.3,160.8
431.8,159.2
452.8,158.4
474.2,157.6
506.7,156.8
528.3000000000001,156.0
550.7,155.2
573.2,154.4
607.0,153.8
629.1,153.8
650.0,153.8
680.0,153.6
699.2,153.8
725.4000000000001,154.4
755.2,155.2
779.4000000000001,156.0
803.2,156.8
829.2,157.2
853.4000000000001,157.2
878.6,157.4
905.3000000000001,157.4
929.1,157.4
954.4000000000001,157.2
982.3,157.0
1007.2,156.2
1029.2,155.2
1054.3,154.2
1081.3,153.6
1108.1000000000001,153.6
1133.4,153.6
1157.9,153.6
1181.3,153.6
1203.4,153.8
1230.9,154.0
1258.1000000000001,153.4
1280.6000000000001,152.8
1305.3,151.8
1331.9,150.8
1360.5,149.6
1380.7,148.8
1401.9,147.6
1436.0,145.8
1459.7,144.6
1484.3,143.6
1508.8,142.6
1533.5,141.8
1558.0,141.2
1582.1000000000001,140.6
1606.0,140.2
1629.2,139.8
1663.7,138.8
1686.8,138.0
1710.2,137.2
1733.8,136.4
1757.4,135.6
1780.9,135.0
1804.2,134.6
1838.2,134.2
1860.0,134.0
1881.4,133.6
1913.2,133.0
1933.8,132.8
1964.4,132.4
1984.4,132.2
2013.3,132.0
2031.8999999999999,132.0
2058.6,132.0
2083.8999999999996,132.0
2109.0,131.6
2134.3999999999996,131.2
2159.8999999999996,130.8
2185.5,130.6
2210.6,130.4
2235.5,130.2
2259.8999999999996,130.0
2283.7999999999997,130.0
2314.7999999999997,129.8
2337.2,130.0
2358.7999999999997,130.0
2386.7999999999997,130.0
2413.8999999999996,130.0
2440.2,130.0
2459.5,130.0
2484.8999999999996,130.0
2509.7999999999997,130.0
2540.5,130.0
2564.7999999999997,130.0
2588.7999999999997,130.0
2612.6,130.0
2636.2999999999997,130.0
2665.7999999999997,130.0
2689.2,130.0
2712.5,130.0
2735.7999999999997,130.0
2764.2999999999997,130.0
2787.0,130.0
2816.7,129.6
2836.1,129.2
2864.6,128.6
2886.8999999999996,128.4
2916.7999999999997,128.2
2938.7999999999997,128.2
2967.7,128.0
2989.0,128.0
3016.7,128.0
3043.2,128.2
3062.2999999999997,128.2
3092.7,128.2
3116.7999999999997,128.2
3141.3999999999996,128.0
3166.7,128.0
3192.2,127.8
3217.7999999999997,127.8
3243.3999999999996,127.6
3268.7,127.6
3293.8999999999996,127.6
3318.6,127.6
3343.1,127.6
3367.2,127.6
3391.0,127.6
3414.7999999999997,127.6
3444.2999999999997,127.6
3467.7999999999997,127.6
3491.1,127.6
3520.1,127.6
3543.3999999999996,127.6
3566.5,127.6
3595.5,127.6
3618.6,127.6
3641.6,127.6
3670.3999999999996,127.6
3693.3999999999996,127.6
3716.3999999999996,127.6
3745.1,127.6
3768.1,127.6
3791.0,127.6
3819.6,127.6
3842.2999999999997,127.8
3870.7999999999997,127.6
3893.7999999999997,127.6
3916.7999999999997,127.6
3945.8999999999996,127.6
3969.1,127.8
3995.2999999999997,128.2
4021.3999999999996,128.8
4043.6,129.2
4071.8,129.6
4094.8,130.0
4119.099999999999,130.4
4144.2,130.6
4169.0,130.2
4195.7,129.6
4221.4,129.0
4249.3,128.6
4270.7,128.4
4299.9,128.0
4323.0,127.4
4347.0,127.0
4371.5,126.6
4396.3,126.2
4421.2,126.2
4445.2,126.2
4475.599999999999,126.2
4497.7,126.2
4519.2,126.2
4546.9,126.2
4573.9,126.2
4600.3,126.2
4619.8,126.2
4645.8,126.0
4671.7,126.0
4697.3,126.0
4722.9,125.8
4748.0,126.0
4771.8,126.2
4797.9,126.8
4823.5,127.4
4847.599999999999,128.0
4873.7,128.4
4900.0,128.8
4923.4,129.0
4951.0,129.0
4974.5,128.6
4997.099999999999,128.0
5024.8,127.0
5048.4,126.2
5072.099999999999,126.6
5098.5,127.6
5126.7,127.8
5148.9,127.8
5176.599999999999,127.8
5198.599999999999,127.8
5226.2,127.8
5248.3,127.8
5276.2,127.8
5298.599999999999,127.8
5326.7,127.8
5349.0,127.8
5376.5,127.8
5403.5,127.6
5427.5,127.4
5451.9,127.4
5475.9,127.4
5502.4,127.4
5527.099999999999,127.4
5551.4,127.4
5576.099999999999,127.4
5603.4,127.4
5627.2,127.6
5652.4,127.2
5675.7,126.8
5700.599999999999,126.8
5728.7,127.4
5754.0,127.6
5780.0,127.4
5801.3,127.4
5827.8,127.6
5855.2,127.4
5879.2,126.8
5905.9,126.4
5927.599999999999,125.8
5957.5,125.6
5979.7,125.6
6001.5,125.6
6029.7,125.6
6057.3,125.4
6077.3,125.6
6103.2,125.6
6128.9,125.6
6154.099999999999,125.6
6178.8,125.6
6203.0,125.6
6232.7,125.6
6256.0,125.6
6279.099999999999,125.6
6307.599999999999,125.6
6330.099999999999,125.6
6358.2,125.6
6380.4,125.6
6408.099999999999,125.6
6430.099999999999,125.6
6457.7,125.6
6479.9,125.6
6507.8,125.6
6530.3,125.6
6558.599999999999,125.6
6581.2,125.6
6609.599999999999,125.6
6632.3,125.6
6660.8,125.6
6683.7,125.6
6706.4,125.6
6734.599999999999,125.6
6756.8,125.6
6783.9,125.8
6809.7,126.0
6831.2,125.8
6859.0,125.8
6886.9,125.8
6909.3,125.8
6931.8,125.8
6960.0,125.8
6982.7,125.8
7010.9,125.8
7033.599999999999,125.8
7057.599999999999,125.4
7083.3,125.2
7109.2,125.2
7134.2,125.2
7157.8,125.6
7185.2,125.8
7210.7,126.0
7235.2,126.2
7261.0,126.0
7284.099999999999,125.6
7309.4,125.2
7335.9,125.0
7361.8,125.2
7385.4,125.8
7411.7,126.8
7436.5,126.6
7460.7,126.2
7490.099999999999,126.0
7513.7,126.0
7537.3,126.0
7560.599999999999,126.0
7589.8,126.0
7613.0,126.0
7636.2,126.0
7665.099999999999,126.0
7687.8,125.6
7715.0,124.8
7737.4,124.4
7760.9,123.8
7785.2,123.4
7810.599999999999,122.8
7835.9,122.6
7861.4,122.4
7893.0,122.8
7914.2,123.2
7939.599999999999,123.6
7966.599999999999,124.2
7989.099999999999,124.8
8014.2,125.4
8038.9,125.8
8065.3,126.6
8091.3,126.6
8114.8,126.6
8142.3,126.6
8165.8,126.6
8189.2,126.8
8217.2,127.0
8241.800000000001,126.6
8265.5,126.0
8291.5,125.8
8318.7,125.4
8339.300000000001,125.4
8366.5,125.4
8392.900000000001,125.4
8418.800000000001,125.4
8444.7,125.2
8470.0,125.4
8494.6,125.4
8517.900000000001,125.6
8540.400000000001,125.6
8568.7,125.6
8591.2,125.6
8619.0,125.6
8642.1,125.2
8668.400000000001,124.8
8694.800000000001,124.6
8715.6,124.2
8745.300000000001,123.8
8767.2,123.8
8795.2,123.8
